,size_decile,pre_beta_decile,n_firms,mean_lnME,mean_pre_beta,Date
2253,6,4,15,12.828060577773005,0.7535928617699288,2021-06-30
2254,6,5,12,12.881102550458225,0.8908335048245765,2021-06-30
2255,6,6,19,12.846259149929113,0.9951171054716754,2021-06-30
2256,6,7,16,12.863342397728655,1.1975699786532361,2021-06-30
2257,6,8,10,12.851457911075617,1.3237517470582356,2021-06-30
2258,6,9,17,12.785942458488355,1.5594459993826275,2021-06-30
2259,6,10,21,12.825812258520273,2.1311583022147786,2021-06-30
2260,7,1,24,13.217501739980086,-0.10483604619302585,2021-06-30
2261,7,2,14,13.195878344451854,0.44002524371579765,2021-06-30
2262,7,3,7,13.264554145482899,0.5483039820151377,2021-06-30
2263,7,4,9,13.263783427612386,0.623274639683446,2021-06-30
2264,7,5,11,13.250852142043298,0.7093587777981571,2021-06-30
2265,7,6,11,13.243088801049073,0.8275263070250197,2021-06-30
2266,7,7,12,13.239997472284367,0.9235915378854097,2021-06-30
2267,7,8,27,13.215038874970011,1.092441489248505,2021-06-30
2268,7,9,12,13.204615009427302,1.409623253634422,2021-06-30
2269,7,10,41,13.224284094516387,1.9716796681454913,2021-06-30
2270,8,1,17,13.776585742115067,0.14796349679611948,2021-06-30
2271,8,2,7,13.860797027557297,0.6245154823725257,2021-06-30
2272,8,3,8,13.739647622365013,0.7340509020925513,2021-06-30
2273,8,4,12,13.889854107413823,0.8618039375177468,2021-06-30
2274,8,5,14,13.849701191640936,0.9547124072266591,2021-06-30
2275,8,6,12,13.817819133970888,1.0511978681724343,2021-06-30
2276,8,7,13,13.889153737680873,1.1716202156970095,2021-06-30
2277,8,8,13,13.69891468203571,1.306765596408376,2021-06-30
2278,8,9,12,13.733238011390307,1.4946017591620044,2021-06-30
2279,8,10,21,13.749539698969024,2.0660622081390274,2021-06-30
2280,9,1,8,14.429767620689242,-0.15805860609309758,2021-06-30
2281,9,2,8,14.512196708890556,0.4022569177251063,2021-06-30
2282,9,3,9,14.645537242132743,0.6016085385849204,2021-06-30
2283,9,4,10,14.763707715483495,0.7554585917074922,2021-06-30
2284,9,5,9,14.559875469002797,0.9422692109216536,2021-06-30
2285,9,6,11,14.65635439804713,1.1248596933977362,2021-06-30
2286,9,7,9,14.76113580014161,1.300788313885948,2021-06-30
2287,9,8,13,14.53029841319946,1.4629794305885448,2021-06-30
2288,9,9,11,14.555349843088754,1.7363868888928111,2021-06-30
2289,9,10,11,14.729775616123868,2.270278744807047,2021-06-30
2290,10,1,8,15.643471698104218,-0.12681457888966002,2021-06-30
2291,10,2,7,16.12788247753694,0.5040403051714266,2021-06-30
2292,10,3,8,15.939171002600407,0.691055021729467,2021-06-30
2293,10,4,9,16.20017517987264,0.8455393625816685,2021-06-30
2294,10,5,7,15.562037065211072,0.973717360280439,2021-06-30
2295,10,6,7,17.157068100343256,1.0587440366282077,2021-06-30
2296,10,7,7,16.381945654125154,1.1936915939200665,2021-06-30
2297,10,8,7,16.22078174890198,1.3072060334377336,2021-06-30
2298,10,9,8,16.067981553381124,1.472877761349926,2021-06-30
2299,10,10,7,16.70722621261572,1.7206173792123602,2021-06-30
2300,1,1,81,10.581488571719637,0.14781083132899292,2022-06-30
2301,1,2,40,10.797892726605372,0.5728890643977262,2022-06-30
2302,1,3,56,10.714095307048709,0.7502802440131175,2022-06-30
2303,1,4,21,10.799624943151912,0.8453753544330036,2022-06-30
2304,1,5,25,10.583507212600967,0.9050252457174031,2022-06-30
2305,1,6,52,10.811934696107945,1.0132394729002006,2022-06-30
2306,1,7,36,10.810018788316839,1.1302755181433737,2022-06-30
2307,1,8,58,10.754452390111556,1.2627167679699285,2022-06-30
2308,1,9,58,10.789960232826157,1.4787601271685757,2022-06-30
2309,1,10,73,10.77466654626365,2.0199211924177294,2022-06-30
2310,2,1,30,11.32066404734497,-0.017688387774825405,2022-06-30
2311,2,2,38,11.315890260251487,0.6144785977192566,2022-06-30
2312,2,3,25,11.30616629553241,0.813344172351723,2022-06-30
2313,2,4,18,11.304639655808705,0.9390193017098212,2022-06-30
2314,2,5,27,11.306898295284213,1.0336863907432852,2022-06-30
2315,2,6,32,11.31509439150542,1.196949031766764,2022-06-30
2316,2,7,14,11.322221435651585,1.3266672333876754,2022-06-30
2317,2,8,17,11.318297302059257,1.4317346302139295,2022-06-30
2318,2,9,32,11.308472877707247,1.6329566373359847,2022-06-30
2319,2,10,19,11.31254606015488,2.2647392260317822,2022-06-30
2320,3,1,30,11.568787846128323,0.09332160483067709,2022-06-30
2321,3,2,10,11.595812918170479,0.43163712996377557,2022-06-30
2322,3,3,21,11.587648136627717,0.5913689501909614,2022-06-30
2323,3,4,19,11.578850799088837,0.6919645643116124,2022-06-30
2324,3,5,18,11.581583822241695,0.7761746694087761,2022-06-30
2325,3,6,21,11.587506704089966,0.9188385796570143,2022-06-30
2326,3,7,27,11.567897741999046,1.0728438496654793,2022-06-30
2327,3,8,25,11.5882416915722,1.2355279148950766,2022-06-30
2328,3,9,25,11.580910861073828,1.43010834944688,2022-06-30
2329,3,10,39,11.567481753590096,1.8484324967645942,2022-06-30
2330,4,1,41,11.91762090792039,0.09834123493824393,2022-06-30
2331,4,2,23,11.886500366672282,0.5500718859496782,2022-06-30
2332,4,3,34,11.899611418464914,0.7462491484019198,2022-06-30
2333,4,4,25,11.896733450593779,0.8938128856331555,2022-06-30
2334,4,5,25,11.970955370014181,1.0082388855080773,2022-06-30
2335,4,6,48,11.930981235988497,1.152326947168323,2022-06-30
2336,4,7,25,11.888663315460265,1.3434189835769217,2022-06-30
2337,4,8,22,11.86090043876468,1.5013486483193481,2022-06-30
2338,4,9,29,11.948209046026193,1.743725880659143,2022-06-30
2339,4,10,25,11.985454638863892,2.533615822381821,2022-06-30
2340,5,1,23,12.300570474016588,0.02139428247335728,2022-06-30
2341,5,2,10,12.334524016150123,0.48252325039137034,2022-06-30
2342,5,3,14,12.321671349886604,0.6018312668057565,2022-06-30
