,MKT
2016-12-31,0.04228032496420042
2017-01-31,0.013914906165856547
2017-02-28,0.009298607244122735
2017-03-31,0.031075868453899157
2017-04-30,0.02020899748155064
2017-05-31,0.061586252005229936
2017-06-30,0.020981876933151376
2017-07-31,-0.0003338582010090881
2017-08-31,-0.012549449843845668
2017-09-30,0.011625402508889182
2017-10-31,0.0543470720586447
2017-11-30,-0.0015600916641077649
2017-12-31,0.014128385358946938
2018-01-31,0.05645231683424279
2018-02-28,-0.05549249799331661
2018-03-31,0.010479648690291195
2018-04-30,0.025396921985558353
2018-05-31,-0.031209126823949714
2018-06-30,-0.0424485371602044
2018-07-31,-0.019460164570375835
2018-08-31,0.018337126109082637
2018-09-30,0.010022463659059073
2018-10-31,-0.1458762253312702
2018-11-30,0.03844392022407506
2018-12-31,-0.01278229791512803
2019-01-31,0.07721530438222872
2019-02-28,-0.0005457599911014546
2019-03-31,-0.02003754496503277
2019-04-30,0.029412367120129134
2019-05-31,-0.07464903651693772
2019-06-30,0.03810702488648987
2019-07-31,-0.05525474612213002
2019-08-31,-0.028618311874234827
2019-09-30,0.04668867028812209
2019-10-31,0.016154974646268586
2019-11-30,-0.0038699829286420536
2019-12-31,0.06799008575951913
2020-01-31,-0.03624197918429316
2020-02-29,-0.06023958195781432
2020-03-31,-0.1090842376442806
2020-04-30,0.11432665890521534
2020-05-31,0.05229941118767593
2020-06-30,0.04032239190938067
2020-07-31,0.0722760925328368
2020-08-31,0.035204725878139165
2020-09-30,0.0022254644491046735
2020-10-31,-0.031354048569740445
2020-11-30,0.13892483949586926
2020-12-31,0.12319602041059136
2021-01-31,0.0226935595953145
2021-02-28,0.00816414834542693
2021-03-31,0.023074330303478163
2021-04-30,0.029305405444088904
2021-05-31,0.013117393012874703
2021-06-30,0.03405838000124426
2021-07-31,-0.02377872821724089
2021-08-31,-0.002940990817523962
2021-09-30,-0.03848686383191031
2021-10-31,-0.02962309142565082
2021-11-30,-0.042273897871998554
2021-12-31,0.06591076637435693
2022-01-31,-0.10834512161815243
2022-02-28,0.012556139499746702
2022-03-31,0.031235805966394706
2022-04-30,-0.026356666906133294
2022-05-31,-0.004901214673717046
2022-06-30,-0.13494835798580537
2022-07-31,0.055822183137657445
2022-08-31,0.007514172837210015
2022-09-30,-0.13287485145116207
2022-10-31,0.06061944258689893
2022-11-30,0.07353632243805162
2022-12-31,-0.0789514938249504
2023-01-31,0.08550165929137653
2023-02-28,0.006690600835815296
2023-03-31,0.03580345777380686
2023-04-30,0.007398304649980775
2023-05-31,0.027780279471834802
2023-06-30,0.0007647667014426908
2023-07-31,0.03623322443441456
2023-08-31,-0.02558341717678025
2023-09-30,-0.04459069926427183
2023-10-31,-0.0839594790095821
2023-11-30,0.11366432772991009
2023-12-31,0.05419307376516683
2024-01-31,-0.061711086140521586
2024-02-29,0.06383808982200845
2024-03-31,0.04581580847440383
2024-04-30,-0.02299522025202249
2024-05-31,-0.022079405930886423
2024-06-30,0.05380033330310423
2024-07-31,-0.014671238461293215
2024-08-31,-0.036115034936687815
2024-09-30,-0.024266769190321832
2024-10-31,-0.015832186170822615
2024-11-30,-0.04670531079195034
2024-12-31,-0.013864043739890261
2025-01-31,0.0533977655758221
2025-02-28,0.012341697398939875
2025-03-31,-0.026225044852748413
2025-04-30,0.03623234049558216
2025-05-31,0.0514576156895575
2025-06-30,0.1298061608137392
2025-07-31,0.05331509094829223
2025-08-31,-0.01622986165080954
2025-09-30,0.07407570376009825
2025-10-31,0.18201787993608107
2025-11-30,-0.03537022231456906
2025-12-31,0.06914375558934786
2026-01-31,0.2409688288091986
2026-02-28,0.17720110317520915
2026-03-31,-0.1797866357177643
