,Date,size_decile,pre_beta_decile,ret
27942,2022-10-31,5,3,-0.0009256371583847448
27943,2022-10-31,5,4,-0.007185725657455955
27944,2022-10-31,5,5,0.00675474890843164
27945,2022-10-31,5,6,-0.016594161994327505
27946,2022-10-31,5,7,0.02629610120618365
27947,2022-10-31,5,8,0.051506747350116545
27948,2022-10-31,5,9,0.05116100058443018
27949,2022-10-31,5,10,0.010447581213204
27950,2022-10-31,6,1,0.03231760432169132
27951,2022-10-31,6,2,0.0016879300061202196
27952,2022-10-31,6,3,-0.01947397138334714
27953,2022-10-31,6,4,0.011577789052957508
27954,2022-10-31,6,5,0.04088142970869103
27955,2022-10-31,6,6,-0.017663260426893437
27956,2022-10-31,6,7,-0.03191221348448866
27957,2022-10-31,6,8,0.0016453471796193263
27958,2022-10-31,6,9,0.033978761436450525
27959,2022-10-31,6,10,0.014090102135918159
27960,2022-10-31,7,1,0.05369997980342563
27961,2022-10-31,7,2,-0.007795430998155852
27962,2022-10-31,7,3,-0.02572056374017443
27963,2022-10-31,7,4,0.040448427437686965
27964,2022-10-31,7,5,0.045344994240682696
27965,2022-10-31,7,6,0.04521183415693864
27966,2022-10-31,7,7,-0.024155833677969002
27967,2022-10-31,7,8,0.04594646194192846
27968,2022-10-31,7,9,0.016952116401864392
27969,2022-10-31,7,10,-0.0015087530678796158
27970,2022-10-31,8,1,-0.018464321959351732
27971,2022-10-31,8,2,0.030690078885914414
27972,2022-10-31,8,3,0.036137001085110004
27973,2022-10-31,8,4,-0.05792817883358671
27974,2022-10-31,8,5,-0.023382028108077244
27975,2022-10-31,8,6,-0.01634852448576077
27976,2022-10-31,8,7,-0.0361217405784315
27977,2022-10-31,8,8,-0.012530361023437369
27978,2022-10-31,8,9,0.023491109930134313
27979,2022-10-31,8,10,0.024125617960153712
27980,2022-10-31,9,1,0.021729890192749936
27981,2022-10-31,9,2,-0.01760332919449083
27982,2022-10-31,9,3,0.00029875518666421116
27983,2022-10-31,9,4,-0.01114554885430465
27984,2022-10-31,9,5,0.06258554441157665
27985,2022-10-31,9,6,0.10942241659469543
27986,2022-10-31,9,7,0.03618912003304331
27987,2022-10-31,9,8,0.10404354075553775
27988,2022-10-31,9,9,0.07716750426135212
27989,2022-10-31,9,10,0.02238090522577225
27990,2022-10-31,10,1,0.010987480441360093
27991,2022-10-31,10,2,0.060125583259642124
27992,2022-10-31,10,3,-0.005753263620079108
27993,2022-10-31,10,4,0.0018362688853566789
27994,2022-10-31,10,5,-0.004603374727665366
27995,2022-10-31,10,6,0.038185243644878276
27996,2022-10-31,10,7,0.09842181193744078
27997,2022-10-31,10,8,0.004236427059497801
27998,2022-10-31,10,9,0.12556912685463856
27999,2022-10-31,10,10,0.0779834027850048
28000,2022-11-30,1,1,0.04518942388503636
28001,2022-11-30,1,2,0.059961607826064155
28002,2022-11-30,1,3,0.09838949473787097
28003,2022-11-30,1,4,0.13354117481542202
28004,2022-11-30,1,5,0.011792221594742526
28005,2022-11-30,1,6,0.07506484741725315
28006,2022-11-30,1,7,0.049612066489963476
28007,2022-11-30,1,8,0.04687501109735784
28008,2022-11-30,1,9,0.09398559067523413
28009,2022-11-30,1,10,0.07430097920697448
28010,2022-11-30,2,1,0.08671338947104883
28011,2022-11-30,2,2,0.07927745137874295
28012,2022-11-30,2,3,0.11120840161358272
28013,2022-11-30,2,4,0.08228297759292019
28014,2022-11-30,2,5,0.0768939768594281
28015,2022-11-30,2,6,0.09327267264461987
28016,2022-11-30,2,7,0.12135497416496806
28017,2022-11-30,2,8,0.2219901761054694
28018,2022-11-30,2,9,0.08117721468908816
28019,2022-11-30,2,10,0.09897778825847545
28020,2022-11-30,3,1,0.06163151297481744
28021,2022-11-30,3,2,0.09690986866437692
28022,2022-11-30,3,3,0.06721258007416454
28023,2022-11-30,3,4,0.08226641160432284
28024,2022-11-30,3,5,0.1244180766543661
28025,2022-11-30,3,6,0.0489201858276712
28026,2022-11-30,3,7,0.11768368556259785
28027,2022-11-30,3,8,0.07776984833634558
28028,2022-11-30,3,9,0.08584866552546629
28029,2022-11-30,3,10,0.07372562984726184
28030,2022-11-30,4,1,0.04549139505195078
28031,2022-11-30,4,2,0.06484326734196132
28032,2022-11-30,4,3,0.08136931544480994
28033,2022-11-30,4,4,0.11319700611647185
28034,2022-11-30,4,5,0.09659734155631401
28035,2022-11-30,4,6,0.08741492345246094
28036,2022-11-30,4,7,0.10100564622844917
28037,2022-11-30,4,8,0.15118941547973394
28038,2022-11-30,4,9,0.097036233383692
28039,2022-11-30,4,10,0.08069810197443494
28040,2022-11-30,5,1,0.0655879115271464
28041,2022-11-30,5,2,0.0404154970798141
28042,2022-11-30,5,3,0.0453333123212024
28043,2022-11-30,5,4,0.03979781978560617
28044,2022-11-30,5,5,0.06056545106062035
28045,2022-11-30,5,6,0.08117917218742272
28046,2022-11-30,5,7,0.12249695226237294
28047,2022-11-30,5,8,0.08304316719648458
28048,2022-11-30,5,9,0.0944134619987894
28049,2022-11-30,5,10,0.10508181763703292
28050,2022-11-30,6,1,0.07759111217146793
28051,2022-11-30,6,2,0.05719982153067112
28052,2022-11-30,6,3,0.040678772495756486
28053,2022-11-30,6,4,0.07569692728076952
28054,2022-11-30,6,5,0.0818033615993425
28055,2022-11-30,6,6,0.0893444368833545
28056,2022-11-30,6,7,0.07945260722622567
28057,2022-11-30,6,8,0.08221538874079995
28058,2022-11-30,6,9,0.07592124145865155
28059,2022-11-30,6,10,0.06902757974403236
28060,2022-11-30,7,1,0.0033834231697703926
28061,2022-11-30,7,2,0.035060582517572554
28062,2022-11-30,7,3,0.10339723252466786
28063,2022-11-30,7,4,0.06213010933677372
28064,2022-11-30,7,5,0.05230262642044756
